uuid,title,commodity_code,latitude,longitude,wkt_point,categories,description,url,General Information > Commodity Type,General Information > Mine Name(Ore Deposit Name),General Information > Country,General Information > Location Name,General Information > Company Name,General Information > License Type,General Information > Status,Geology(Country Rock) > Geotectonics,Geology(Country Rock) > Stratum Name,Geology(Country Rock) > Lithology,Geology(Country Rock) > Age,Metallogenic Belt Name > Metallogenic Belt Name,Related Igneous Rock > Type of Related Igneous Rock,Related Igneous Rock > Age of Related Igneous Rock,Ore Deposit > Type of Ore Deposit,Ore Deposit > Ore Body Type,Ore Deposit > Main Ore Deposit,Ore Deposit > Minor Ore Deposit,Ore Deposit > Main Mineral,Ore Deposit > Minor Mineral,Ore Deposit > Mineralizaed Age,Ore Deposit > Alteration Properties,Ore Deposit > Resources,Ore Deposit > Grade of Resources,File Data > Type of Map & Report,File Data > Content Type,File Data > Title,File Data > Publishing Agency,File Data > Publication Year,URL Reference > URL,URL Reference > URL Type,Security Level > Security Level,License & Copyright > Public settings,License & Copyright > CC License,License & Copyright > Copyright,License & Copyright > Data Registrant,License & Copyright > Registration Date,URL Reference > URL Description,Ore Deposit > Ore Body Scale(Depth),Comments > Comments,License & Copyright > Phrases used in citation,Ore Deposit > Ore Body Direction,Ore Deposit > Reserves,Ore Deposit > Grade of Reserves,Ore Deposit > Ore Body Scale(Length),Ore Deposit > Ore Body Scale(Width),File Data > Data File,File Data > File Public setting
11848ec9-ad82-43a7-8a91-3ec04f9d171e,[Iron] Phalek,040,18.9900,102.953,POINT (102.953 18.9900),Critical Mineral Resources Data | ASEAN-CMR-2026-001220 | LA-000155,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/11848ec9-ad82-43a7-8a91-3ec04f9d171e,Iron,Phalek,Lao PDR,Xaisomboun,Phubia Mining,Exploration,Operating,Truong Son Paleozoic volcano-sedimentary arc,Thapachon Formation,Sedimentary rock,Devonian,Truong Son Paleozoic volcano-sedimentary arc,Intrusive rock,Permian,Skarn,Skarn,Iron,Copper-Tin-Gold,magnetite,Hematite,Permian,Skarn alteration,>50Mt (Iron),45-50%,References(Others),Report,"Geology, Geochronology, and Hf Isotopic Composition of the Pha Lek Fe Deposit, Northern Laos: Implications for Early Permian Subduction-Related Skarn Fe Mineralization in the Truong Son Belt",Journal of Earth Science,2019,10.1007/s12583-018-0864-7,DOI,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
d2f2e89a-77a3-4f3d-8b2c-7e92cf1830ca,[Gold] KSO Ore deposit,031,18.1988,105.077,POINT (105.077 18.1988),Critical Mineral Resources Data | ASEAN-CMR-2026-001236 | LA-000171,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/d2f2e89a-77a3-4f3d-8b2c-7e92cf1830ca,Gold,KSO Ore deposit,Lao PDR,Bolikhamxay,KSO mining,Production,Operating,Truong Son Paleozoic volcano-sedimentary arc,,Sedimentary rock,Ordovician-Permian,Truong Son Paleozoic volcano-sedimentary arc,Granite,Permian,Hydrothermal,"Vein, Minor stockworks & breecia",Gold,quartz-pyrite,,,,,,,References(Others),Report,"Geology and Mineralization Characteristics of Khamkeut Saen Oudom Gold Deposit, Bolikhamxai, Lao PDR",Bulletin of Earth Sciences of Thailand,2017,https://ph01.tci-thaijo.org/index.php/bestjournal/article/view/247018/167847,Regular URL,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,"Geology and Mineralization Characteristics of Khamkeut Saen Oudom Gold Deposit, Bolikhamxai, Lao PDR",,,,,,,,,,
3002a75a-6660-418f-bfdd-45b79ed5d19a,[REEs] Gossan Hills,105,13.810,107.342,POINT (107.342 13.810),Critical Mineral Resources Data | ASEAN-CMR-2026-000236 | KH-000044,Lim Pagna KH (2026-05-11),https://acmdp.org/data/3002a75a-6660-418f-bfdd-45b79ed5d19a,REEs,Gossan Hills,Cambodia,Andong Meas,Angkor Gold Corp.,Exploration,Suspended,Indochina Terrane,Metamorphic carbonate sequence,"Gossan (iron-rich weathered zone), lateritic soils, altered carbonate rocks",Not specified (host rocks likely Paleozoic–Mesozoic; supergene overprint),Not formally defined (NE Cambodia REE–Cu–skarn belt),Granodiorite / diorite / syenite (intrusive bodies),,Supergene REE enrichment over skarn / intrusive-related system,Soil anomaly + gossan zone (surface enrichment),"Rare Earth Elements (REE, total REO)","Scandium (Sc), possible Cu–Fe association",Not fully identified (REE hosted in weathered matrix),"Iron oxides (gossan), possible skarn minerals",Primary (intrusive-related) + secondary (supergene enrichment),Strong weathering; gossan formation; possible skarn alteration,,668.09 ppm,References(Others),Map & Report,"Assays on Rare Earth From Gossan Hills, Cambodia",Angkor Resources,2022,https://wp.angkorresources.com/wp-content/uploads/2022/01/5-gossan-REEdjod.pdf,Regular URL,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Lim Pagna,2026-05-11,Company's report (PDF),Near-surface (soil/laterite zone),Up to ~450 ppm TREO; Sc >200 ppm reported,"Angkor Resources, 2022",,,,,,,
df73a7a4-265d-48ec-9c70-b75308968114,[REEs] Gossan Hills,105,13.820,107.341,POINT (107.341 13.820),Critical Mineral Resources Data | ASEAN-CMR-2026-000237 | KH-000045,Lim Pagna KH (2026-05-11),https://acmdp.org/data/df73a7a4-265d-48ec-9c70-b75308968114,REEs,Gossan Hills,Cambodia,Andong Meas,Angkor Gold Corp.,Exploration,Suspended,Indochina Terrane,Metamorphic carbonate sequence,"Gossan (iron-rich weathered zone), lateritic soils, altered carbonate rocks",Not specified (host rocks likely Paleozoic–Mesozoic; supergene overprint),Not formally defined (NE Cambodia REE–Cu–skarn belt),Granodiorite / diorite / syenite (intrusive bodies),,Supergene REE enrichment over skarn / intrusive-related system,Soil anomaly + gossan zone (surface enrichment),"Rare Earth Elements (REE, total REO)","Scandium (Sc), possible Cu–Fe association",Not fully identified (REE hosted in weathered matrix),"Iron oxides (gossan), possible skarn minerals",Primary (intrusive-related) + secondary (supergene enrichment),Strong weathering; gossan formation; possible skarn alteration,,611 ppm,References(Others),Map & Report,"Assays on Rare Earth From Gossan Hills, Cambodia",Angkor Resources,2022,https://wp.angkorresources.com/wp-content/uploads/2022/01/5-gossan-REEdjod.pdf,Regular URL,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Lim Pagna,2026-05-11,Company's report (PDF),Near-surface (soil/laterite zone),Up to ~450 ppm TREO; Sc >200 ppm reported,"Angkor Resources, 2022",,,,,,,
eb13ad60-9ee4-41e9-819c-d79b3dd3c0c4,[Copper] Mahar San,019,23.804,95.567,POINT (95.567 23.804),Critical Mineral Resources Data | ASEAN-CMR-2026-001433 | MM-000049,Zaw Win Lwin MM (2026-05-13),https://acmdp.org/data/eb13ad60-9ee4-41e9-819c-d79b3dd3c0c4,Copper,Mahar San,Myanmar,"Kawlin Township, Sagaing Region","Maharsan Group Co., Ltd.",Production,,Central Myanmar Volcanic Arc,,Intermediate volcanic and volcaniclastic rocks,Miocene,Gold_Copper_Iron Belt,,,VHMS,carbonate and quartz veining,Copper,"Lead, zinc","Pyrite, chalcopyrite, chalcocite","Galena, sphalerite, covellite, bornite and tennantite",,Chlorite-sericite alteration,,7.35% Cu,Geology,,,,,,,Open,Public,"CC BY-ND -It is free to use the author, but it cannot be used for commercial purposes and must be used without modification.",The copyright of this data is held by ASEAN Member States,Zaw Win Lwin,2026-05-13,,,,,,,,,,,
2d741d67-5c8c-4143-a3bd-19a58a1ce518,[Zinc] Hpalin,086,23.363,98.792,POINT (98.792 23.363),Critical Mineral Resources Data | ASEAN-CMR-2026-001432 | MM-000048,Zaw Win Lwin MM (2026-05-13),https://acmdp.org/data/2d741d67-5c8c-4143-a3bd-19a58a1ce518,Zinc,Hpalin,Myanmar,"Hopan Township, Northern Shan State",,Production,Suspended,Sibumasu Terrane,Wunbye Formation,Limestone,? Ordovician,Lead-Zinc-Silver-Copper Belt,,,"Non-sulphide, carbonate-hosted","Contact zone between dolomitic limestone and schist, supergene, hypogene",Zinc,"Lead, silver, copper",Smithsonite,"Galena, franklinite, fluorite,quartz, muscovite",? Ordovician,Oxidation,200000 tons,"31.8% Zn, 2.1% Pb",Geology,,,,,,,Open,Public,"CC BY-ND -It is free to use the author, but it cannot be used for commercial purposes and must be used without modification.",The copyright of this data is held by ASEAN Member States,Zaw Win Lwin,2026-05-13,,Galena below 30 m,,,,,,,,,
c8d20ca1-67c4-4a99-928a-dfe6c22ddf7f,[Lead] Mohochaung,045,23.420,97.491,POINT (97.491 23.420),Critical Mineral Resources Data | ASEAN-CMR-2026-001431 | MM-000047,Zaw Win Lwin MM (2026-05-13),https://acmdp.org/data/c8d20ca1-67c4-4a99-928a-dfe6c22ddf7f,Lead,Mohochaung,Myanmar,"Manton Township, Northern Shan State",,Production,Suspended,Sibumasu Terrane,Pangyun Formation,"Sandstone, shale",Cambro-Ordovician,Lead-Zinc-Silver-Copper Belt,,,SHMS,"Pockets, veins",Lead,"Zinc, copper",Galena,"sphalerite, pyrite, chalcopyrite, barite, siderite",Cambro-Ordovician,"Silicification, sericitization",40000 tons,1.62% to 14.71% Pb,Geology,,,,,,,Open,Public,"CC BY-ND -It is free to use the author, but it cannot be used for commercial purposes and must be used without modification.",The copyright of this data is held by ASEAN Member States,Zaw Win Lwin,2026-05-13,,,,,E-W & NE–SW,,,,,,
b5e2464d-c033-425e-8787-7c4342630b8c,[Lead] Yechanbyin-Dokhtoye (a) Bawdwingyi,045,21.272,96.399,POINT (96.399 21.272),Critical Mineral Resources Data | ASEAN-CMR-2026-001430 | MM-000046,Zaw Win Lwin MM (2026-05-13),https://acmdp.org/data/b5e2464d-c033-425e-8787-7c4342630b8c,Lead,Yechanbyin-Dokhtoye (a) Bawdwingyi,Myanmar,"Ywangan Township, Southern Shan State","Yadana Zayar Mining & Manufacturing CO., Ltd.",Production,Operating,Sibumasu Terrane,Wunbye Formation,Limestone,Ordovician,Lead-Zinc-Silver-Copper Belt,,,Carbonate-hosted,Networks of sulphide stringers andveins in replacement ore bodies which are stratiform andstratabound,Lead,"Zinc, copper","Gelena, Cerussite","sphalerite, chalcopyrite, argentite, pyrite, barite, quartz",Ordovician,,120 000 tons,<25% Pb,Geology,,,,,,,Open,Public,"CC BY-ND -It is free to use the author, but it cannot be used for commercial purposes and must be used without modification.",The copyright of this data is held by ASEAN Member States,Zaw Win Lwin,2026-05-13,,,,,,,,,,,
7f124be1-a174-4eb3-b22c-8186479c632e,[Lead] Phaungdaw,045,20.666,96.282,POINT (96.282 20.666),Critical Mineral Resources Data | ASEAN-CMR-2026-001429 | MM-000045,Zaw Win Lwin MM (2026-05-13),https://acmdp.org/data/7f124be1-a174-4eb3-b22c-8186479c632e,Lead,Phaungdaw,Myanmar,"Pyawbwe Township, Mandalay Region",Kyel War Mining Company Limited,Production,Operating,Mogok-Mandalay-Mergui Metamorphic Belt,Wunbye Formation,Coarse crystalline white blue greythick- bedded marble,Ordovician,,Granitic dykes,Tertiary,Vein/skarn,Disseminated grains & stringers of galena in quartz veins stratiform with bedding andalso cross-cutting bedding,Lead,"Zinc, copper",Gelena,"sphalerite, pyrite, chalcopyrite, tetrahedritetennantite,minor bornite, hemimorphite,",? Ordovician,"Quartz, calcite",20000 tons,24.7% Pb,Geology,,,,,,,Open,Public,"CC BY-ND -It is free to use the author, but it cannot be used for commercial purposes and must be used without modification.",The copyright of this data is held by ASEAN Member States,Zaw Win Lwin,2026-05-13,,Thickness 1 to 2 m,,,NW–SE,,,,,,
a9e16fc5-543f-49d5-acec-2124a676a569,[Arsenic] Namon,108,18.0349,104.713,POINT (104.713 18.0349),Critical Mineral Resources Data | ASEAN-CMR-2026-001428 | LA-000363,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/a9e16fc5-543f-49d5-acec-2124a676a569,Arsenic,Namon,Lao PDR,Khammouan,,,,Truong Son Paleozoic volcano-sedimentary arc,Khammouan Formation,Sedimentary rock,Carboniferous-Permian,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
